Include	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
	CM04	Medical / Testing / Research Laboratory	C	M	4		Commercial	Medical	Medical / Testing / Research Laboratory	
	CM05	Professional Medical Service	C	M	5		Commercial	Medical	Professional Medical Service	
	CM05ZS	Assessment / Development Services	C	M	5	ZS	Commercial	Medical	Professional Medical Service	Assessment / Development Services
	CN	Animal Centre	C	N			Commercial	Animal Centre		
	CN01	Cattery / Kennel	C	N	1		Commercial	Animal Centre	Cattery / Kennel	
	CN02	Animal Services	C	N	2		Commercial	Animal Centre	Animal Services	
	CN02AX	Animal Quarantining	C	N	2	AX	Commercial	Animal Centre	Animal Services	Animal Quarantining
	CN03	Equestrian	C	N	3		Commercial	Animal Centre	Equestrian	
	CN03HB	Horse Racing / Breeding Stable	C	N	3	HB	Commercial	Animal Centre	Equestrian	Horse Racing / Breeding Stable
	CN03SB	Commercial Stabling / Riding	C	N	3	SB	Commercial	Animal Centre	Equestrian	Commercial Stabling / Riding
	CN04	Vet / Animal Medical Treatment	C	N	4		Commercial	Animal Centre	Vet / Animal Medical Treatment	
	CN05	Animal / Bird / Marine Sanctuary	C	N	5		Commercial	Animal Centre	Animal / Bird / Marine Sanctuary	
	CN05AN	Animal Sanctuary	C	N	5	AN	Commercial	Animal Centre	Animal / Bird / Marine Sanctuary	Animal Sanctuary
	CN05MR	Marine Sanctuary	C	N	5	MR	Commercial	Animal Centre	Animal / Bird / Marine Sanctuary	Marine Sanctuary
	CO	Office	C	O			Commercial	Office		
	CO01	Office / Work Studio	C	O	1		Commercial	Office	Office / Work Studio	
	CO01EM	"Embassy /, High Commission / Consulate"	C	O	1	EM	Commercial	Office	Office / Work Studio	"Embassy /, High Commission / Consulate"
	CO01FM	Film Studio	C	O	1	FM	Commercial	Office	Office / Work Studio	Film Studio
	CO01GV	Central Government Service	C	O	1	GV	Commercial	Office	Office / Work Studio	Central Government Service
	CO01LG	Local Government Service	C	O	1	LG	Commercial	Office	Office / Work Studio	Local Government Service
